id_docente;nombre_docente;dirección;numero_secciones
00055721;Lucía Luz González León;Carrera 33 # 6-1 Sur 179875 Anserma, Caldas;4
00054929;Paola Romero Hernández;Carrera 93 # 3-8 Este Etapa 5 apartamento 20 256908 Útica, Cundinamarca;4
00054854;Nelly Suárez;Calle 6L Este # 2-2 Este 414021 Oporapa, Huila;4
00055324;Claudia Elena Marín;Av. Gonzáles # 17-38 Casa 66 271282 Río Iró, Chocó;3
00054988;Mario Jesús Rico;Av. carrera 49 # 36-6 Este Apartamento 462 257432 Sibaté, Cundinamarca;3
00055230;Deisy Rosalba Flórez Vanegas;Cl. 43 # 4-1 Este 503119 San Juan de Arama, Meta;1
00054882;Elkin Cardona;Dg. 42 # 9-40 Este Apartamento 1 158154 Turmequé, Boyacá;3
00055485;Claudia Mora;Carrera 3ª # 46-42 524456 Mosquera, Nariño;4
00054903;Néstor Jhonny Carvajal;Cr. 4M # 32-7 Sur 251257 Subachoque, Cundinamarca;3
00055724;José Mejía;Av. Risaralda # 2-3 Bodega 521 153301 Tópaga, Boyacá;1
00055021;Juan Guillermo Parra Ochoa;Avenida Guapi # 91-9 Sur Apto. 86 051210 San Andrés de Cuerquía, Antioquia;4
00055656;Alicia Martínez;Carrera 36 # 53F-56 Bodega 22 205447 La Paz, Cesar;3
00054870;Yohana Ingrid Gómez Blanco;Cr. 5M Bis # 20-60 Sur Local 21 709857 Colosó, Sucre;2
00055389;Danilo Rodríguez;Cl. 6G Bis W # 4-65 545306 Chitagá, Norte de Santander;3
00055190;Eduardo Arango;Avenida calle 118 # 8-8 Sur 154618 Gámeza, Boyacá;1
00055558;David Álvaro Garzón Ríos;Dg. 44 # 66-9 Sur 153864 Cómbita, Boyacá;1
00055143;Fabio Ortiz Alvarado;Avenida Reyes # 7-95 Este 136264 Villanueva, Bolívar;4
00055454;Deiby Alexander Naranjo;Cl. 80 # 79-16 Sur 051191 Puerto Triunfo, Antioquia;1
00055384;Claudia Carmen Salas Mejía;Calle 7ª # 81B-3 Sur 195075 Silvia, Cauca;3
00055602;Sandra Cárdenas Ospina;Cl. 94 # 2H-32 Sur 199571 Miranda, Cauca;4
00055279;Nelly Flor Rojas;Tr. 190 # 6R-7 Este Local 671 253756 La Palma, Cundinamarca;4
00055215;Judith Gisela Prieto Fuentes;Cr. 41Y # 3L-8 Sur 544874 Tibú, Norte de Santander;3
00054876;Yolanda Torres;Calle 165O # 8-49 Torre 4 apartamento 99 209629 Chimichagua, Cesar;1
00055169;Lizeth Vásquez Roa;Avenida Cardona # 2-9 Este Casa 31 767752 Sevilla, Valle del Cauca;4
00054959;Luis Ricardo Giraldo;Cl. 55D # 3-9 Este Bodega 3 760980 Palmira, Valle del Cauca;3
00055236;Mayerly Escobar Vanegas;Cl. 38 # 9C-8 Este Apto. 765 765525 La Unión, Valle del Cauca;2
00055701;Fernanda Rosa Triana;Calle 5S # 57X-53 702722 Coveñas, Sucre;4
00055440;Armando Vargas;Cr. 2ª # 4U-1 684375 Los Santos, Santander;2
00055820;Andrés Andrés Salazar;Tr. 36L # 4-2 Este Oficina 689 174083 San José, Caldas;2
00054927;Laura Gómez;Cl. 60 # 4-78 Apartamento 1 639226 Circasia, Quindío;2
00054928;Andrés Mauricio Rojas;Carrera 1ª # 93Q-66 Este 056334 Bello, Antioquia;1
00055388;Vanessa Sandra Galeano;Tr. 170 # 6-54 Este 473413 Concordia, Magdalena;4
00055138;Ruth María Villegas;Av. calle 156 # 9R-4 Sur 156630 Sativanorte, Boyacá;1
